class,precision,recall,f1_score,support
A,0.9908883826879271,0.9954233409610984,0.9931506849315068,437.0
B,0.9932432432432432,1.0,0.9966101694915255,441.0
C,0.9974874371859297,0.9974874371859297,0.9974874371859297,398.0
D,0.9979633401221996,0.9939148073022313,0.9959349593495935,493.0
E,0.9913793103448276,0.9956709956709957,0.9935205183585313,462.0
F,1.0,0.9965217391304347,0.9982578397212544,575.0
G,0.9918533604887984,0.9979508196721312,0.9948927477017364,488.0
H,0.99375,0.9958246346555324,0.9947862356621481,479.0
I,0.9936974789915967,0.9916142557651991,0.9926547743966422,477.0
J,0.9980582524271845,0.9961240310077519,0.997090203685742,516.0
K,1.0,0.9925925925925926,0.9962825278810409,540.0
L,1.0,0.998019801980198,0.9990089197224975,505.0
M,0.9006211180124224,0.9265175718849841,0.9133858267716536,313.0
N,0.9123505976095617,0.8980392156862745,0.9051383399209486,255.0
O,0.9911894273127754,0.9933774834437086,0.9922822491730982,453.0
P,1.0,0.9877450980392157,0.9938347718865598,408.0
Q,0.9928571428571429,0.9952267303102625,0.9940405244338498,419.0
R,0.9862204724409449,0.9862204724409449,0.9862204724409449,508.0
S,0.9921568627450981,0.9921568627450981,0.9921568627450981,510.0
T,0.9978494623655914,0.9872340425531915,0.9925133689839573,470.0
U,0.9938900203665988,0.9701789264413518,0.9818913480885312,503.0
V,0.9845261121856866,0.9980392156862745,0.991236611489776,510.0
W,0.9897959183673469,0.9877800407331976,0.9887869520897044,491.0
X,0.993006993006993,0.9861111111111112,0.9895470383275261,432.0
Y,0.9980694980694981,1.0,0.9990338164251208,517.0
Z,0.9789473684210527,0.9893617021276596,0.9841269841269841,470.0
del,0.9711815561959655,0.9911764705882353,0.9810771470160117,340.0
nothing,1.0,1.0,1.0,1.0
space,0.9907407407407407,0.9876923076923076,0.9892141756548536,325.0
